"User","freq_type","mone_type","rec_type","Cluster","value"
1,1,1,3,2,27
2,3,3,3,1,51
3,2,2,1,4,29
4,2,3,2,3,44
6,1,3,3,2,47
7,1,2,1,5,27
8,2,2,3,3,39
10,1,2,3,2,37
11,2,2,3,2,39
13,2,3,2,3,44
14,1,1,1,4,17
15,2,2,2,4,34
16,2,2,3,2,39
17,2,3,3,3,49
18,1,1,1,4,17
19,2,1,1,4,19
20,2,3,2,3,44
21,1,2,1,5,27
22,2,2,1,4,29
23,3,3,3,1,51
24,2,2,3,3,39
25,1,2,2,2,32
26,2,3,2,3,44
27,2,3,3,3,49
28,1,1,1,5,17
29,1,2,1,5,27
30,3,2,3,1,41
31,2,2,3,3,39
32,1,1,1,4,17
33,1,1,2,4,22
34,3,3,3,1,51
35,1,1,1,4,17
36,1,1,1,5,17
37,1,1,1,5,17
38,2,2,1,4,29
39,2,3,2,4,44
40,3,3,3,1,51
41,2,2,3,2,39
42,2,2,2,3,34
43,2,2,2,4,34
44,2,1,3,2,29
45,2,3,1,4,39
46,2,2,1,3,29
47,2,2,3,2,39
48,3,3,3,1,51
49,2,2,1,4,29
50,2,2,2,2,34
51,2,3,2,3,44
52,2,3,2,4,44
54,2,1,1,4,19
55,3,2,2,3,36
56,2,3,2,3,44
57,3,2,2,3,36
58,1,1,1,5,17
59,2,3,1,4,39
60,2,2,2,2,34
61,2,2,3,3,39
62,2,2,3,2,39
63,1,2,1,4,27
64,1,2,2,2,32
65,1,1,3,2,27
66,2,2,1,4,29
67,2,3,2,2,44
68,1,1,3,2,27
69,2,2,1,4,29
70,3,3,3,1,51
71,2,3,1,4,39
72,1,3,1,4,37
74,2,2,1,4,29
75,1,2,1,4,27
76,2,3,3,3,49
77,2,2,1,4,29
78,1,1,1,5,17
79,1,1,2,2,22
80,1,1,1,5,17
81,2,2,1,4,29
82,3,3,2,1,46
83,2,2,1,4,29
84,1,1,1,4,17
85,2,1,1,4,19
86,2,2,2,2,34
87,3,2,3,1,41
88,2,2,3,2,39
89,2,2,2,3,34
90,1,2,2,2,32
91,1,1,1,5,17
92,2,2,3,3,39
93,2,2,1,4,29
94,1,1,3,2,27
95,2,3,1,5,39
96,2,3,2,3,44
97,2,3,1,3,39
99,2,3,1,3,39
100,2,2,3,2,39
101,1,1,1,5,17
102,2,2,1,4,29
103,3,3,3,1,51
104,1,1,1,5,17
105,2,3,1,4,39
107,3,2,2,3,36
108,2,1,1,4,19
109,3,3,2,1,46
110,2,2,3,3,39
111,1,1,1,5,17
113,2,3,3,3,49
115,3,3,2,1,46
116,1,1,3,2,27
118,3,2,2,3,36
119,1,1,2,2,22
120,2,2,3,2,39
121,2,3,1,3,39
122,2,2,1,3,29
123,2,2,3,3,39
124,2,2,1,5,29
125,1,1,2,2,22
126,2,3,1,4,39
128,2,3,3,2,49
129,2,2,3,2,39
130,1,3,2,2,42
131,2,2,3,2,39
132,1,2,3,2,37
133,1,1,2,2,22
134,2,3,1,4,39
135,2,2,3,2,39
136,1,1,1,5,17
137,2,2,1,4,29
138,2,3,3,3,49
140,2,2,2,2,34
143,2,2,1,4,29
144,1,1,1,4,17
145,1,1,1,4,17
146,2,1,1,4,19
147,2,2,2,4,34
148,2,2,3,2,39
152,3,2,2,3,36
153,1,3,3,2,47
154,1,1,1,5,17
155,1,2,2,4,32
156,1,1,1,4,17
157,2,3,1,4,39
158,2,2,2,3,34
159,2,3,2,3,44
160,2,2,2,2,34
161,1,1,1,4,17
162,1,1,1,5,17
163,2,3,1,3,39
164,1,1,3,2,27
165,2,3,2,4,44
166,3,2,3,1,41
167,1,1,1,4,17
168,2,3,3,2,49
170,2,3,3,3,49
171,2,2,3,2,39
172,2,3,2,3,44
173,2,3,2,2,44
175,2,1,3,3,29
178,2,2,2,2,34
179,3,3,3,1,51
180,2,2,1,4,29
181,1,1,3,2,27
182,2,2,1,5,29
183,2,2,1,4,29
184,2,3,1,3,39
185,2,2,2,2,34
186,2,2,3,2,39
187,1,1,1,5,17
188,2,3,1,4,39
189,1,1,1,4,17
190,1,1,1,5,17
192,1,1,1,5,17
193,1,1,1,5,17
194,2,1,3,2,29
195,2,3,3,3,49
196,2,2,3,3,39
197,2,1,1,3,19
199,3,3,3,1,51
200,2,3,1,3,39
201,2,1,2,2,24
202,2,3,2,4,44
203,2,2,1,4,29
204,2,2,2,3,34
205,2,3,1,4,39
206,2,2,1,4,29
207,3,3,2,1,46
208,2,2,3,2,39
210,1,1,1,5,17
211,2,2,1,4,29
212,3,3,3,1,51
214,2,2,2,4,34
215,2,2,3,3,39
216,2,3,2,2,44
217,2,2,3,3,39
218,2,2,3,3,39
220,1,1,1,5,17
221,1,1,1,4,17
222,3,3,3,1,51
223,2,2,3,3,39
225,2,3,1,4,39
226,2,2,1,4,29
227,2,2,1,4,29
228,2,2,2,2,34
229,2,2,2,2,34
230,3,2,3,1,41
231,2,2,3,3,39
232,1,1,1,4,17
233,2,2,3,2,39
234,2,3,1,3,39
235,2,1,1,4,19
236,2,2,1,3,29
237,3,3,3,1,51
238,1,1,2,2,22
239,2,2,3,3,39
240,2,3,1,3,39
241,2,2,3,3,39
243,2,3,2,3,44
245,2,3,1,5,39
246,2,3,3,2,49
247,2,2,3,2,39
248,1,1,3,2,27
249,2,2,3,2,39
250,2,2,1,3,29
251,1,2,2,2,32
252,1,2,1,4,27
255,2,3,2,3,44
256,2,2,3,2,39
257,2,3,3,3,49
259,2,2,1,4,29
260,2,3,3,2,49
262,1,1,3,2,27
263,3,3,1,3,41
264,1,1,3,2,27
265,1,1,2,2,22
266,3,3,2,3,46
267,2,2,2,2,34
268,1,2,1,4,27
269,1,3,2,2,42
270,2,1,2,4,24
271,2,2,3,3,39
272,2,2,2,2,34
273,3,3,1,3,41
274,3,3,3,1,51
275,1,2,1,5,27
276,2,3,3,2,49
278,1,1,1,4,17
280,3,2,3,1,41
281,1,1,1,4,17
282,1,1,1,4,17
284,2,3,2,3,44
285,2,2,3,3,39
286,2,3,2,3,44
288,3,2,2,1,36
289,2,2,3,2,39
290,3,2,3,1,41
291,1,1,2,2,22
292,1,3,1,5,37
293,2,3,1,4,39
294,2,2,2,3,34
295,1,1,1,5,17
296,3,3,3,1,51
297,2,2,3,3,39
298,2,2,1,4,29
299,3,3,2,1,46
300,2,3,2,3,44
301,1,2,3,2,37
302,1,1,3,2,27
303,1,1,2,2,22
304,2,2,1,4,29
305,3,3,2,1,46
306,2,2,1,5,29
307,2,2,1,4,29
308,2,3,2,2,44
309,3,3,3,1,51
310,2,2,2,2,34
311,1,1,3,2,27
312,3,2,2,1,36
313,2,3,3,3,49
314,1,2,1,4,27
315,1,2,1,5,27
316,3,2,3,1,41
319,1,1,1,4,17
320,2,1,3,2,29
321,3,2,2,1,36
322,2,3,2,3,44
325,2,2,2,2,34
326,2,2,3,2,39
327,2,2,3,2,39
330,2,3,3,3,49
331,1,1,1,4,17
332,1,2,1,4,27
333,2,3,2,3,44
334,2,3,1,4,39
336,3,3,2,1,46
338,1,1,1,5,17
339,2,2,3,3,39
340,2,2,3,2,39
341,1,1,1,5,17
342,2,3,1,3,39
343,2,2,3,2,39
344,2,1,1,4,19
346,1,1,3,2,27
347,1,1,1,4,17
348,2,3,2,3,44
349,1,1,2,4,22
351,1,1,1,4,17
352,2,3,1,3,39
354,2,2,2,2,34
355,2,3,2,3,44
356,2,2,2,2,34
357,2,2,1,4,29
358,2,2,1,4,29
359,2,3,1,4,39
360,2,3,1,5,39
361,2,3,1,4,39
362,2,2,3,3,39
363,2,3,3,3,49
364,3,2,2,1,36
365,2,2,2,4,34
367,2,3,3,3,49
368,3,3,3,1,51
369,2,1,3,3,29
370,2,1,1,4,19
371,2,3,2,2,44
373,2,3,1,4,39
375,1,1,1,4,17
376,2,2,1,4,29
377,2,2,2,2,34
378,2,2,2,2,34
379,2,3,1,5,39
380,2,3,2,3,44
381,2,3,3,2,49
382,2,3,2,2,44
383,1,1,1,5,17
384,1,1,3,2,27
385,1,1,1,5,17
386,1,1,3,2,27
387,2,2,3,2,39
388,2,2,2,2,34
389,2,2,1,4,29
390,2,2,3,2,39
391,2,3,3,3,49
392,3,3,3,1,51
393,2,2,1,4,29
394,2,2,2,3,34
395,1,1,1,5,17
398,2,2,1,4,29
399,2,2,1,3,29
400,1,1,1,4,17
401,2,2,1,3,29
402,1,1,2,2,22
404,2,2,1,3,29
405,1,1,1,5,17
406,2,3,2,3,44
407,1,1,3,2,27
408,2,3,2,3,44
409,2,3,2,3,44
410,1,3,2,2,42
411,1,2,1,5,27
412,1,2,2,2,32
413,3,3,2,1,46
414,2,2,2,2,34
415,1,1,2,2,22
416,1,3,2,4,42
417,2,3,1,5,39
418,2,2,1,3,29
419,1,1,1,5,17
420,2,2,1,4,29
421,1,2,2,2,32
422,1,1,1,5,17
423,3,3,3,1,51
425,3,3,3,1,51
426,2,2,1,4,29
427,2,3,1,3,39
428,3,3,3,1,51
429,1,1,1,4,17
430,2,2,1,4,29
431,1,1,3,2,27
432,1,1,1,4,17
433,3,2,2,3,36
435,1,1,3,2,27
436,1,1,1,5,17
437,2,2,1,4,29
439,2,3,2,3,44
441,2,2,1,4,29
442,1,2,2,2,32
443,2,2,1,5,29
444,1,2,1,4,27
445,2,2,3,2,39
446,2,2,3,3,39
448,2,2,2,2,34
450,3,2,1,3,31
451,2,3,3,3,49
452,3,3,2,1,46
453,1,3,1,4,37
454,2,2,3,3,39
455,1,1,3,2,27
456,1,1,2,4,22
