"User","Frequency","Monetary","Recency","Cluster"
1,1,10000,11,2
2,5,199000,3,1
3,2,45000,36,4
4,3,225000,21,3
6,1,400000,12,2
7,1,30000,74,5
8,3,70000,1,3
10,1,50000,11,2
11,2,30000,9,2
13,3,85000,16,3
14,1,10000,53,4
15,2,30000,29,4
16,2,60000,5,2
17,3,239000,12,3
18,1,20000,32,4
19,2,15000,33,4
20,3,230000,17,3
21,1,35000,58,5
22,2,61500,58,4
23,5,174000,3,1
24,3,70000,13,3
25,1,40000,23,2
26,3,130000,26,3
27,3,185000,12,3
28,1,5000,85,5
29,1,30000,58,5
30,4,70000,0,1
31,3,40000,4,3
32,1,5000,36,4
33,1,10000,29,4
34,4,129000,5,1
35,1,5000,39,4
36,1,20000,90,5
37,1,9000,88,5
38,2,70000,43,4
39,2,100001,29,4
40,4,123000,8,1
41,2,30000,9,2
42,3,60000,29,3
43,2,40000,30,4
44,2,25000,2,2
45,3,140000,63,4
46,3,45000,35,3
47,2,40000,7,2
48,5,200000,9,1
49,2,30000,58,4
50,2,40000,14,2
51,3,139000,18,3
52,2,90000,30,4
54,2,27000,38,4
55,4,69000,24,3
56,3,85000,19,3
57,4,54000,20,3
58,1,20000,68,5
59,2,88000,60,4
60,2,69999,23,2
61,3,70000,6,3
62,2,70000,1,2
63,1,39000,52,4
64,1,50000,19,2
65,1,20000,7,2
66,2,60000,31,4
67,2,85000,19,2
68,1,20000,13,2
69,2,30000,37,4
70,4,90000,4,1
71,3,199000,59,4
72,1,100000,52,4
74,2,70000,54,4
75,1,50000,31,4
76,3,90000,6,3
77,2,45000,36,4
78,1,10000,83,5
79,1,3000,22,2
80,1,10000,85,5
81,2,30000,46,4
82,5,194500,17,1
83,2,70000,31,4
84,1,5000,46,4
85,2,20000,39,4
86,2,70000,21,2
87,4,44000,5,1
88,2,40000,9,2
89,3,65000,16,3
90,1,35000,17,2
91,1,20000,71,5
92,3,50000,12,3
93,2,55000,34,4
94,1,10000,12,2
95,3,99999,75,5
96,3,90000,28,3
97,3,125000,37,3
99,3,120000,32,3
100,2,40000,12,2
101,1,20000,85,5
102,2,30000,55,4
103,4,110000,4,1
104,1,20000,58,5
105,2,120000,36,4
107,4,75000,26,3
108,2,25000,45,4
109,4,280000,30,1
110,3,30000,3,3
111,1,9000,82,5
113,3,189000,11,3
115,6,160000,18,1
116,1,20000,5,2
118,4,74000,24,3
119,1,20000,20,2
120,2,45000,6,2
121,3,168000,31,3
122,3,50000,35,3
123,3,70000,13,3
124,2,40000,62,5
125,1,10000,22,2
126,3,80000,51,4
128,2,104000,6,2
129,2,70000,8,2
130,1,85000,16,2
131,2,30000,9,2
132,1,35000,2,2
