"User","Frequency","Monetary","Recency"
1,1,10000,11
2,5,199000,3
3,2,45000,36
4,3,225000,21
6,1,400000,12
7,1,30000,74
8,3,70000,1
10,1,50000,11
11,2,30000,9
13,3,85000,16
14,1,10000,53
15,2,30000,29
16,2,60000,5
17,3,239000,12
18,1,20000,32
19,2,15000,33
20,3,230000,17
21,1,35000,58
22,2,61500,58
23,5,174000,3
24,3,70000,13
25,1,40000,23
26,3,130000,26
27,3,185000,12
28,1,5000,85
29,1,30000,58
30,4,70000,0
31,3,40000,4
32,1,5000,36
33,1,10000,29
34,4,129000,5
35,1,5000,39
36,1,20000,90
37,1,9000,88
38,2,70000,43
39,2,100001,29
40,4,123000,8
41,2,30000,9
42,3,60000,29
43,2,40000,30
44,2,25000,2
45,3,140000,63
46,3,45000,35
47,2,40000,7
48,5,200000,9
49,2,30000,58
50,2,40000,14
51,3,139000,18
52,2,90000,30
54,2,27000,38
55,4,69000,24
56,3,85000,19
57,4,54000,20
58,1,20000,68
59,2,88000,60
60,2,69999,23
61,3,70000,6
62,2,70000,1
63,1,39000,52
64,1,50000,19
65,1,20000,7
66,2,60000,31
67,2,85000,19
68,1,20000,13
69,2,30000,37
70,4,90000,4
71,3,199000,59
72,1,100000,52
74,2,70000,54
75,1,50000,31
76,3,90000,6
77,2,45000,36
78,1,10000,83
79,1,3000,22
80,1,10000,85
81,2,30000,46
82,5,194500,17
83,2,70000,31
84,1,5000,46
85,2,20000,39
86,2,70000,21
87,4,44000,5
88,2,40000,9
89,3,65000,16
90,1,35000,17
91,1,20000,71
92,3,50000,12
93,2,55000,34
94,1,10000,12
95,3,99999,75
96,3,90000,28
97,3,125000,37
99,3,120000,32
100,2,40000,12
101,1,20000,85
102,2,30000,55
103,4,110000,4
104,1,20000,58
105,2,120000,36
107,4,75000,26
108,2,25000,45
109,4,280000,30
110,3,30000,3
111,1,9000,82
113,3,189000,11
115,6,160000,18
116,1,20000,5
118,4,74000,24
119,1,20000,20
120,2,45000,6
121,3,168000,31
122,3,50000,35
123,3,70000,13
124,2,40000,62
125,1,10000,22
126,3,80000,51
128,2,104000,6
129,2,70000,8
130,1,85000,16
131,2,30000,9
132,1,35000,2
133,1,5000,21
134,2,289800,49
135,2,38000,11
136,1,20000,61
137,2,35000,32
138,2,310000,5
140,2,45000,15
143,2,70000,33
144,1,20000,40
145,1,25000,46
146,2,18500,31
147,2,40000,28
148,2,30000,7
150,5,560000,18
152,4,65000,20
153,1,98000,3
154,1,10000,74
155,1,30000,29
156,1,20000,49
157,2,85000,31
158,3,50000,27
159,3,100000,20
160,2,59000,16
161,1,20000,37
162,1,20000,82
163,3,319989,34
164,1,10000,13
165,2,145000,28
166,4,60000,5
167,1,5000,36
168,2,110000,11
170,3,149500,8
171,2,30000,4
172,3,170000,19
173,2,130000,21
175,3,25000,3
178,2,40000,22
179,6,149800,3
180,2,70000,52
181,1,10000,9
182,2,55000,79
183,2,60000,31
184,3,80000,33
185,2,49000,14
186,2,30000,6
187,1,5000,56
188,3,225000,65
189,1,10000,37
190,1,20000,84
191,2,700000,6
192,1,20000,86
193,1,20000,87
194,2,20000,9
195,3,114000,6
196,3,44000,8
197,3,25000,33
199,4,188990,11
200,3,263800,46
201,2,20000,18
202,2,105000,28
203,3,34000,55
204,3,50000,26
205,2,130000,33
206,2,40000,49
207,4,100000,16
208,2,40000,13
210,1,10000,84
211,2,40000,58
212,6,115000,12
213,7,1950000,1
214,2,60000,28
215,3,50000,9
216,2,120000,15
217,3,50000,5
218,3,49000,10
220,1,25000,63
221,1,10000,50
222,4,105000,1
223,3,69000,12
225,3,80000,45
226,2,39990,32
227,2,65000,57
228,2,30000,27
229,2,40000,15
230,4,75000,6
231,3,34000,4
232,1,10000,53
