userID,amount,diffDate
9920,10000,44
18093,30000,45
17067,20000,56
18629,45000,7
5889,100000,82
13633,10000,44
6919,78000,73
6960,9000,38
18450,20000,30
1917,65000,11
5074,50000,32
6502,10000,64
19123,20000,1
16066,9000,79
17064,35000,90
1956,40000,38
13262,20000,31
7783,20000,56
4921,10000,36
10214,20000,18
12517,20000,60
4761,20000,10
17296,100000,11
6081,39000,59
17030,9000,87
1067,11000,32
16860,20000,60
12870,10000,28
13153,20000,1
11993,100000,57
1703,28000,16
14992,20000,39
2628,10000,23
684,50000,47
15286,20000,86
6214,20000,27
15050,5000,60
8019,49000,58
8328,60000,89
6732,2000,15
953,10000,87
16657,20000,43
17369,50000,33
6918,49000,5
8148,50000,8
13560,5000,67
16913,50000,25
16045,150000,37
327,20000,5
8568,20000,44
17105,10000,80
212,20000,58
4409,80000,53
1192,20000,37
9254,700000,29
2327,5000,18
16240,20000,19
1870,10000,36
1694,10000,6
15042,20000,65
296,50000,3
1772,20000,51
14517,11000,52
7245,10000,41
7044,20000,69
15669,9000,35
18229,20000,88
4678,20000,53
4066,20000,9
14620,20000,24
4708,10000,13
84,5000,46
6732,10000,23
225,25000,45
19528,10000,9
7949,20000,80
9730,1000000,4
1200,25000,37
16283,50000,76
8172,20000,57
4870,10000,72
11568,10000,83
16605,10000,7
6956,59000,37
7557,30000,60
10731,50000,62
15832,35000,82
18580,40000,49
3234,20000,23
11791,5000,41
15912,20000,50
1814,30000,55
6617,40000,29
18059,10000,80
766,28000,16
10887,50000,38
17435,20000,73
14843,109000,41
6569,1001,54
19668,35000,16
14672,50000,25
8653,45000,79
10745,20000,41
6823,50000,1
6254,30000,65
9760,100000,8
17831,80000,57
8305,20000,26
9563,13000,24
5661,10000,23
4006,20000,73
19975,10000,85
12260,20000,45
936,10000,50
1228,50000,87
10366,20000,30
15436,10000,64
15995,50000,13
14211,10000,68
252,50000,38
2964,45000,32
14810,10000,47
307,50000,85
1750,10000,46
2645,9000,41
16123,20000,78
10022,20000,53
15758,40000,85
16177,50000,39
5643,10000,33
16060,10000,40
3870,100000,39
260,100000,52
9389,50000,85
15889,10000,16
1217,20000,55
7474,30000,24
13418,10000,17
5324,20000,21
1692,50000,79
2306,20000,37
17684,10000,67
8132,5000,28
16280,50000,50
2252,10000,20
6969,30000,62
2284,35000,82
11301,10000,46
12399,5000,87
13587,20000,20
18870,30000,40
3496,45000,8
800,10000,13
17113,10000,57
4426,30000,78
18534,100000,8
45,10000,70
15310,10000,24
16936,100000,9
5968,5000,79
12996,10000,64
14005,88000,15
1262,20000,75
3336,50000,52
18509,10000,61
15551,80000,27
17193,10000,16
17905,20000,70
15604,20000,22
11407,25000,27
18825,20000,77
18623,20000,68
12666,20000,42
17191,100000,3
11905,120000,85
1427,20000,73
5681,10000,56
12216,10000,86
9556,10000,87
3668,60000,76
7741,140000,48
7116,20000,68
14685,10000,63
5580,50000,88
6855,5000,29
3025,20000,28
4449,20000,45
12838,39000,32
7990,65000,15
10466,125000,9
15113,20000,59
17131,20000,9
3244,20000,53
8191,10000,4
13127,100000,43
17675,10000,43
19306,5000,22
19857,10000,28
17139,9000,35
1390,20000,36
14825,20000,42
13237,10000,52
10075,20000,89
9811,20000,5
14357,100000,11
716,20000,88
3404,20000,48
11537,20000,4
15453,60000,57
10223,10000,10
11869,50000,39
4254,20000,79
6387,25000,46
15069,60000,28
6835,10000,2
3724,50000,50
16195,20000,41
2036,49000,34
1478,20000,44
1582,28000,42
6787,9000,6
846,20000,54
17744,10000,16
8178,10000,72
15077,5000,61
415,20000,19
9225,100000,29
18664,40000,58
6232,39000,36
17399,100000,76
9786,14900,45
583,5000,33
8570,50000,4
12145,25000,64
18334,20000,21
5969,20000,53
14817,20000,76
17507,20000,16
2959,20000,51
150,10000,55
10262,20000,68
4391,5000,41
12286,50000,35
2766,30000,37
16175,30000,34
10449,20000,46
9136,20000,2
11665,10000,67
8464,10000,25
4311,20000,73
15460,15000,50
2633,19500,36
4355,10000,49
11180,20000,78
2119,7500,58
11012,10000,48
6727,5000,77
7189,50000,81
133,5000,21
19274,20000,68
6968,20000,84
8450,10000,36
1111,50000,67
9875,20000,27
9489,50000,1
748,20000,90
19695,10000,70
6658,20000,3
6049,20000,2
16978,39000,56
4196,30000,43
5767,15000,33
10490,20000,83
3213,20000,76
6326,35000,56
3821,45000,3
12574,50000,65
7491,20000,69
3661,40000,54
6129,20000,32
11004,5000,59
2502,10000,1
19408,20000,37
3180,50000,38
2876,5000,8
19708,40000,36
12767,100000,8
13718,25000,28
12222,9999,71
9531,20000,7
6036,50000,67
13251,9000,43
8986,10000,13
14670,10000,63
17342,10000,9
13755,40000,17
5127,20000,17
12436,50,15
12396,1500000,6
11717,30000,47
17847,20000,53
4980,10000,47
13215,50000,87
9913,8000,20
16441,20000,51
5326,50000,3
14177,30000,80
10575,25000,78
16617,10000,77
2509,20000,84
2522,39000,34
7567,10000,4
785,35000,29
1420,30000,83
3243,14000,23
2372,20000,90
17823,60000,55
16094,20000,58
4085,60000,45
5185,10000,44
8366,19990,58
8326,20000,49
7222,10000,51
9993,10000,51
6394,10000,6
15112,100000,40
643,10000,12
13675,20000,16
7488,20000,7
4045,490000,14
14911,15000,9
1676,20000,20
5665,15000,15
14036,50000,74
3807,5000,4
7233,100000,81
16137,20000,51
8681,5000,17
6437,10000,18
8603,250000,28
6735,9990,3
12342,20000,63
13823,18000,49
3549,20000,56
12881,10000,7
2584,30000,19
5021,20000,70
9910,20000,77
16813,20000,59
12884,100000,69
12320,20000,63
17946,15000,19
16812,50000,64
8016,20000,48
17038,5000,87
10498,20000,21
16997,39000,44
13907,20000,49
13720,20000,26
5061,50000,61
7157,100000,5
8975,10000,31
6273,5000,80
3743,10000,6
922,25000,70
716,20000,4
1479,30000,14
319,1000,52
5613,20000,87
626,180000,48
1146,15000,49
19768,20000,82
3687,45000,29
18198,10000,82
9167,30000,76
6520,5000,19
15341,20000,83
3357,20000,9
16987,10000,65
7357,10000,32
9741,25000,51
4562,10000,0
2326,20000,90
15962,20000,1
10622,20000,48
10420,30000,76
11549,20000,84
5787,20000,88
9434,10000,31
6127,20000,37
18084,19000,6
18897,10000,6
18932,20000,74
15596,20000,7
7549,40000,6
14791,20000,81
5922,25000,84
12615,50000,54
1862,10000,80
9139,9990,72
7895,14000,49
990,120000,81
14368,50000,28
19742,29990,22
8688,20000,86
15248,10000,74
19808,10000,52
11426,500000,84
9941,12000,2
5929,1,83
17449,30000,84
6296,25000,60
2723,20000,45
6221,5000,88
3508,190000,53
14478,20000,5
19750,10000,11
18208,10000,29
12220,10000,54
10847,4500,37
1112,20000,50
8140,50000,82
19062,20000,1
3965,50000,6
8797,10000,9
10226,10000,42
10980,30000,32
16593,43000,18
2529,20000,15
11204,60000,46
7537,5000,30
5868,50000,67
3943,20000,32
10618,4900000,12
4966,10000,36
12160,20000,27
4274,50000,32
16127,45000,53
18980,10000,20
18771,10000,2
13456,14000,25
13347,10000,50
17050,20000,40
8543,20000,74
8675,50000,45
11214,20000,57
12415,20000,33
12823,50000,9
11797,20000,87
15787,10000,12
13688,5000,9
2585,10000,51
15319,20000,30
1803,5000,73
10937,10000,89
2263,39800,57
554,39000,90
8138,5000,16
11056,20000,28
11675,39000,52
15496,30000,51
8824,10000,62
10542,10000,44
2349,39000,73
17384,20000,62
15696,50000,53
19075,35000,89
11792,20000,21
13274,20000,9
2564,20000,61
3376,50000,79
8148,50000,10
2265,30000,74
17692,17000,45
11690,30000,43
19581,20000,42
43,20000,33
14538,72500,87
11178,150000,3
10116,300000,76
16262,500000,16
840,90000,58
13895,39000,73
12626,20000,54
5131,5000,44
2367,20000,89
19222,20000,44
12439,20000,14
14589,50000,68
2624,20000,85
9803,20000,37
6380,125000,26
13038,1,73
5860,20000,11
17944,200000,4
5839,20000,19
7939,10000,22
7386,10000,32
3707,30000,87
18335,50000,50
1468,10000,36
6095,30000,5
2477,10000,58
3259,10000,86
4568,10000,2
14797,10000,28
12017,20000,29
12796,10000,4
8142,10000,47
16389,3500,1
15666,20000,42
16046,10000,90
10288,30000,2
18054,20000,84
3948,50000,11
3752,20000,86
2030,10000,11
15554,50000,31
2515,50000,76
3048,10000,88
11533,20000,18
13634,43000,34
19992,50000,7
19256,20000,70
7200,99000,29
10681,39000,58
4662,10000,52
14734,10000,20
4675,10000,4
2779,100000,50
18291,49000,55
6655,20000,15
755,10000,70
7496,50000,22
13066,20000,19
4327,20000,17
11829,20000,67
19190,30000,63
3102,5000,79
5223,100000,30
12345,5000,23
300,300000,27
11368,10000,41
486,20000,21
16791,30000,23
9342,100000,61
8249,10000,78
14683,20000,86
15136,50000,59
19353,30000,54
16260,30000,19
11165,20000,68
9850,100000,33
14038,50000,15
10935,45000,19
5410,1000,86
4030,50000,3
15695,20000,33
19196,50000,12
2657,20000,4
15493,30000,71
3956,20000,28
19552,20000,79
2939,20000,46
9513,10000,10
14575,25000,30
18990,10000,36
2520,10000,57
4957,20000,46
19792,20000,47
17779,20000,28
6023,20000,24
7522,200000,5
6059,10000,47
18756,20000,81
15514,28000,46
16157,10000,36
10572,20000,8
14706,10000,87
7606,20000,11
7647,9000,13
5193,10000,7
1377,50000,50
15547,12500,49
6752,5000,51
12596,20000,46
3238,25000,30
5340,20000,55
16534,50000,34
4474,20000,13
11294,20000,29
14492,50000,40
2535,300000,38
12217,20000,2
10699,10000,84
1805,20000,1
5448,10000,13
1052,10000,34
3759,29000,32
15368,10000,32
16584,20000,6
15534,50000,9
17820,20000,14
17435,10000,52
8996,9000,26
15200,20000,64
19090,10000,4
506,100000,8
2152,30000,20
14810,30000,31
6630,2000,76
10744,20000,34
14944,10000,19
7807,18000,78
9226,50000,68
1976,20000,32
12120,30000,34
7458,20000,39
3715,5000,90
1954,39000,59
4067,5000,21
7880,20000,30
2748,10000,61
13756,105000,77
4453,50000,53
12534,20000,24
5021,30000,72
3859,5000,22
3458,5000,66
5037,100000,71
11687,50000,33
7267,40000,64
9045,39000,35
16161,5000,50
884,50000,19
15940,1,46
19040,20000,34
13404,30000,20
14524,10000,33
2816,5000,64
19798,20000,19
14524,10000,2
9477,5000,41
16786,39900,53
18024,20000,56
538,20000,90
6176,28000,4
17252,100000,27
1884,10000,31
9139,20000,18
10131,50000,28
6044,19000,26
11745,20000,50
18912,20000,32
64,50000,19
2059,9000,33
7121,20000,25
4816,9999,63
5742,20000,28
14381,20000,81
6204,10000,74
19321,10000,26
6936,5000,81
16245,30000,63
11369,10000,15
11868,20000,12
10543,10000,46
12540,10000,79
11399,20000,35
6304,10000,41
7636,10000,80
13712,20000,22
1914,10000,8
11227,10000,69
18331,20000,35
15446,10000,50
10794,10000,88
12635,50000,67
17943,20000,18
8487,10000,9
4074,20000,12
18304,35000,75
19318,9500,30
7302,5000,47
4120,100000,8
8557,20000,73
4493,29000,28
7195,20000,31
3777,50000,33
7487,20000,85
8896,10000,42
9478,20000,18
11758,25000,25
8812,49000,19
7198,20000,47
2238,1000,53
18348,30000,41
4685,20000,33
9108,50000,16
10561,30000,46
4095,5000,26
8293,300000,49
1102,9000,75
15465,10000,23
17333,10000,23
3270,30000,11
4849,60000,89
18240,17000,50
19115,10000,33
15844,20000,16
14966,10000,59
3413,30000,28
1578,11000,2
2223,50000,44
3116,28000,49
4993,10000,7
7651,20000,73
7386,200000,14
10455,10000,59
14165,10000,65
1080,5000,13
18831,10000,73
2994,10000,31
16017,20000,54
12735,9000,35
18300,10000,47
8085,35000,20
18645,150000,58
16602,39000,26
2357,50000,74
8972,10000,7
18458,28000,41
10423,10000,37
5567,50000,7
9295,30000,67
15586,50000,51
18252,100000,55
4744,20000,32
13011,100000,77
17815,20000,85
12852,100000,6
4856,5000,38
5033,5000,17
6067,20000,7
9318,10000,62
5403,20000,88
16577,20000,66
13988,20000,87
16493,14000,52
8711,20000,70
15874,20000,60
2105,9000,45
2736,10000,13
7992,20000,34
129,50000,8
4330,20000,1
14621,20000,75
16269,20000,10
2572,10000,29
13369,50000,52
5004,30000,80
11902,20000,86
8965,30000,46
11238,2000,3
19825,39000,71
7437,10000,28
11194,20000,42
18217,15000,84
19529,50000,15
18730,10000,82
2289,119000,32
3234,5000,69
556,4000,77
12946,50000,12
13841,10000,87
8165,5000,63
8760,10000,36
11875,20000,66
16046,20000,77
3204,5000,19
8122,20000,21
10903,5000,57
12689,20000,51
7242,20000,40
7452,20000,3
16157,20000,26
6959,5000,46
8786,9000,2
13714,5000,39
17278,20000,8
17192,10000,11
15239,15000,40
19493,39000,53
9586,10000,65
6227,20000,4
7580,49000,36
3397,29000,1
15864,9990,28
14923,10000,41
4031,50000,68
14434,10000,62
13146,20000,33
13016,20000,84
15216,30000,4
19861,30000,33
13724,20000,56
4369,20000,72
16594,20000,12
15370,50000,87
18958,50000,2
16209,50000,60
6452,10000,13
16634,10000,21
4256,120000,48
7350,3000000,90
5629,20000,1
161,20000,37
2078,20000,69
10173,50000,59
15197,30000,28
19793,3000,70
2401,50000,48
6194,20000,18
19401,10000,18
13925,25000,20
7107,19990,29
19352,50000,81
7310,50000,16
13131,5000,43
17958,20000,28
